Site	tree1	tree2	tree3	tree4	tree5	tree6	tree7	tree8	tree9	tree10	tree11	tree12	tree13	tree14	tree15
380	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
381	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
382	4.63791199	4.64238779	4.65414804	4.55386937	4.55989965	4.55720115	4.55300063	4.57428848	4.57074509	4.56554686	4.56365820	4.55514632	4.55737158	4.55544246	4.55331904
383	5.81715422	5.80836245	5.79212620	5.74369977	5.73484364	5.73628178	5.74015378	5.72527786	5.73449040	5.73717405	5.71809364	5.72539704	5.73230967	5.73192111	5.73353719
384	6.63885369	6.80833614	6.83384786	6.65782305	6.79556638	6.80789384	6.65994131	6.86155549	6.84877460	6.82313500	6.85124612	6.83141073	6.83822414	6.84515418	6.80824715
385	4.52097175	4.53027514	4.52326853	4.53359787	4.54308566	4.53328374	4.53372218	4.53487013	4.54153128	4.53507874	4.53082676	4.54104820	4.54031009	4.53228247	4.53569199
386	4.54850753	4.55440786	4.54811888	4.53467727	4.53492563	4.53310353	4.53667207	4.52592031	4.52665480	4.52727629	4.53526912	4.54085394	4.53575004	4.53502812	4.53722230
387	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
388	4.38142560	4.38854245	4.38326824	4.38743117	4.39572638	4.38536252	4.38779811	4.38910142	4.39423319	4.38815710	4.38491424	4.39419184	4.39387375	4.38511695	4.38950714
389	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
390	4.52097175	4.53027514	4.52326853	4.53359787	4.54308566	4.53328374	4.53372218	4.53487013	4.54153128	4.53507874	4.53082676	4.54104820	4.54031009	4.53228247	4.53569199
391	4.80366340	4.80846910	4.81156522	4.73232289	4.73818166	4.73248269	4.73126584	4.74178765	4.74330876	4.73795537	4.73242158	4.73262410	4.73551971	4.73059995	4.73128301
392	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
393	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
394	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
395	4.52097175	4.53027514	4.52326853	4.53359787	4.54308566	4.53328374	4.53372218	4.53487013	4.54153128	4.53507874	4.53082676	4.54104820	4.54031009	4.53228247	4.53569199
396	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
397	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
398	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
399	4.83244836	4.83684050	4.84766012	4.72531075	4.72220755	4.73001907	4.72656016	4.73442877	4.72553872	4.72824037	4.74035636	4.72701707	4.72310880	4.73117090	4.72592757
400	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
401	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
402	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
403	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
404	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
405	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
406	4.54850753	4.55440786	4.54811888	4.53467727	4.53492563	4.53310353	4.53667207	4.52592031	4.52665480	4.52727629	4.53526912	4.54085394	4.53575004	4.53502812	4.53722230
407	7.31329584	7.29337064	7.28801476	7.12542566	7.10033232	7.11763049	7.12270973	7.10390222	7.10099483	7.11466258	7.10793966	7.09715233	7.10216827	7.11598460	7.11272530
408	4.63791199	4.64238779	4.65414804	4.55386937	4.55989965	4.55720115	4.55300063	4.57428848	4.57074509	4.56554686	4.56365820	4.55514632	4.55737158	4.55544246	4.55331904
409	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
410	6.70172636	6.67520792	6.70194427	6.62714849	6.60273954	6.61770401	6.62931011	6.60100629	6.58717501	6.59799307	6.62765879	6.59381611	6.60916414	6.63281640	6.63007838
411	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
412	5.02465091	5.02981456	5.03060484	4.92449248	4.91929823	4.92571859	4.92603607	4.91947904	4.91525726	4.91937237	4.92990630	4.92539658	4.92106816	4.92760446	4.92510337
413	5.81715422	5.80836245	5.79212620	5.74369977	5.73484364	5.73628178	5.74015378	5.72527786	5.73449040	5.73717405	5.71809364	5.72539704	5.73230967	5.73192111	5.73353719
414	5.94923841	5.96491712	5.95327399	6.06532715	6.06680821	6.06505473	6.06725124	6.05724000	6.06133791	6.06005572	6.06206117	6.07575642	6.09446192	6.08988776	6.09163061
415	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
416	6.32624133	6.33105846	6.33923331	6.24387765	6.20880994	6.19879613	6.26045793	6.28797363	6.28638002	6.29643826	6.27083867	6.27645678	6.28025571	6.26784212	6.28805932
417	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
418	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
419	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
420	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
421	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
422	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
423	6.07673732	6.09167949	6.09940818	6.11394878	6.11556554	6.12338744	6.11529142	6.13326918	6.12576328	6.12452769	6.13218935	6.12543047	6.14976815	6.15311552	6.14554103
424	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
425	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
426	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
427	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
428	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
429	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
430	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
431	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
432	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
433	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
434	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
435	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
436	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
437	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
438	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
439	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
440	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
441	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
442	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
443	6.42241882	6.44634604	6.45663079	6.35064302	6.38776882	6.39516821	6.34616142	6.37078745	6.36150831	6.30946645	6.38703062	6.38006112	6.37576296	6.37984430	6.32021489
444	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
445	6.62678624	6.61960353	6.62068392	6.57461788	6.56826924	6.59807290	6.57321573	6.41664524	6.39322266	6.38935747	6.57944883	6.56488831	6.56934796	6.59462965	6.56418481
446	5.81715422	5.80836245	5.79212620	5.74369977	5.73484364	5.73628178	5.74015378	5.72527786	5.73449040	5.73717405	5.71809364	5.72539704	5.73230967	5.73192111	5.73353719
447	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
448	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
449	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
450	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
451	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
452	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
453	6.62911643	6.61859730	6.60500438	6.56832407	6.56034445	6.58246697	6.56686516	6.38897350	6.37054499	6.36686771	6.55568418	6.55626984	6.56201846	6.57976756	6.55706971
454	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
455	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
456	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
457	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
458	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
459	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
460	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
461	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
462	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
463	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
464	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
465	4.63791199	4.64238779	4.65414804	4.55386937	4.55989965	4.55720115	4.55300063	4.57428848	4.57074509	4.56554686	4.56365820	4.55514632	4.55737158	4.55544246	4.55331904
466	5.77034413	5.73646460	5.74623776	5.81135922	5.80304050	5.80621569	5.80426604	5.78314788	5.77815196	5.79629799	5.78278578	5.77646408	5.77196806	5.77428634	5.78833533
467	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
468	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
469	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
470	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
471	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
472	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
473	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
474	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
475	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
476	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
477	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
478	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
479	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
480	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
481	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
482	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
483	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
484	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
485	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
486	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
487	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
488	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
489	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
490	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
491	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
492	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
493	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
494	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
495	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
496	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
497	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
498	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
499	5.64416069	5.61830301	5.60838272	5.76286930	5.75868388	5.75309205	5.75744721	5.71789405	5.72406093	5.73904400	5.72339277	5.73841616	5.73202825	5.72640467	5.74580270
500	4.52097175	4.53027514	4.52326853	4.53359787	4.54308566	4.53328374	4.53372218	4.53487013	4.54153128	4.53507874	4.53082676	4.54104820	4.54031009	4.53228247	4.53569199
501	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
502	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
503	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
504	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
505	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
506	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
507	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
508	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
509	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
510	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
511	5.94923841	5.96491712	5.95327399	6.06532715	6.06680821	6.06505473	6.06725124	6.05724000	6.06133791	6.06005572	6.06206117	6.07575642	6.09446192	6.08988776	6.09163061
512	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
513	4.54850753	4.55440786	4.54811888	4.53467727	4.53492563	4.53310353	4.53667207	4.52592031	4.52665480	4.52727629	4.53526912	4.54085394	4.53575004	4.53502812	4.53722230
514	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
515	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
516	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
517	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
518	1.96382185	1.96351076	1.96083522	1.97235783	1.97230689	1.97121288	1.97238276	1.96874599	1.97020221	1.97029776	1.96953561	1.97237498	1.97236647	1.97131649	1.97248763
519	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
520	4.52097175	4.53027514	4.52326853	4.53359787	4.54308566	4.53328374	4.53372218	4.53487013	4.54153128	4.53507874	4.53082676	4.54104820	4.54031009	4.53228247	4.53569199
521	4.83244836	4.83684050	4.84766012	4.72531075	4.72220755	4.73001907	4.72656016	4.73442877	4.72553872	4.72824037	4.74035636	4.72701707	4.72310880	4.73117090	4.72592757
522	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
523	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
524	1.81565867	1.81569338	1.81692941	1.81004271	1.81024793	1.81130042	1.80989749	1.81188525	1.81124956	1.81130290	1.81166840	1.80997611	1.81015142	1.81118631	1.81019243
525	6.74074203	6.67499300	6.74199089	6.74050712	6.71546236	6.73119979	6.73837433	6.74692793	6.73107877	6.74385164	6.73640047	6.65926577	6.65416172	6.69794707	6.69407580
526	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
527	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
528	1.57106558	1.57137244	1.57240654	1.56723098	1.56773797	1.56825302	1.56719564	1.56906704	1.56848909	1.56830026	1.56890176	1.56764294	1.56773397	1.56829936	1.56760042
529	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
530	1.24881962	1.24939702	1.24845510	1.25395963	1.25464514	1.25362618	1.25406105	1.25292830	1.25361036	1.25336704	1.25327816	1.25482035	1.25452974	1.25367368	1.25442598
